id,address,nearbySchoolNum,houseType,soldPrice,lastSoldPrice,rentPrice,bedroom,bathroom,carspace,soldTimeYear,soldTimeMonth,lastSoldTimeYear,lastSoldTimeMonth,rentTimeYear,rentTimeMonth,landSize,buildingSize,buildYear,distanceToCBD,distanceToStation
10035,"93A Asburton Street, East Victoria Park",0,,580000,,,,2,2,2010,12,,,,,,,,5,2
10036,"1/115 Planet Street, Carlisle",1,Duplex,440000,316000,450,2,1,1,2015,1,2010,12,2013,8,1012,74,,6,0.65
10037,"4 Paltridge Avenue, Carlisle",1,House,505000,,380,4,1,3,2016,12,,,2015,12,371,124,1967,5,1
10038,"134A Bishopsgate Street, Carlisle",1,House,690000,,,4,2,2,2010,11,,,,,1053,209,1995,6,0.46
10039,"5 11 15 Canterbury Terrace, East Victoria Park",0,House,539000,,,3,1,,2010,11,,,,,676,,,5,1
1004,"5/8 Mary Street, Como",3,Townhouse,585000,,,3,2,2,2010,9,,,,,1011,90,1992,4,1
10040,"50A Riverview Road, East Victoria Park",0,Duplex,620000,456000,490,3,1,2,2015,10,2010,12,2017,1,545,113,1994,6,2
10041,"1 19 Gerard Street, East Victoria Park",0,Villa,420000,,,3,2,1,2010,12,,,,,1053,,,6,0.51
10042,"44 Camberwell Street, East Victoria Park",0,House,720000,600000,480,3,2,4,2016,3,2010,12,2008,3,455,150,1932,6,1
10045,"3/13 Grant Place, Bentley",3,Apartment,295000,270000,180,2,1,1,2015,3,2010,12,2009,5,2250,,,8,1
10046,"3/24 Dumond Street, Bentley",3,House,360000,,350,3,1,2,2010,12,,,2010,9,2480,94,,7,2
10049,"4/20 Warwick Street, St James",1,Villa,435000,,420,3,1,4,2010,12,,,2012,6,260,90,,7,1
1005,"4/64-66 Comer Street, Como",3,Townhouse,448000,,,3,1,1,2010,9,,,,,2021,,,4,2
10051,"1 1 Boulder Road, Bentley",3,Apartment,385000,,,3,2,1,2010,12,,,,,1225,,,8,1
10052,"132 Hillview Terrace, St James",1,House,750000,,,6,2,2,2015,9,,,,,712,,,7,2
10053,"2 5 Chapman Road, St James",1,Villa,365000,,,3,1,1,2010,12,,,,,1012,,,7,1
10054,"7 30-32 Mitchell Street, Bentley",3,Unit,333000,,,2,1,1,2010,12,,,,,2050,,,8,1
10056,"18 Victoria Street, St James",1,House,577500,,,4,2,2,2010,11,,,,,531,200,,7,1
10057,"149A Fitzroy Road, Rivervale",2,House,420000,,420,3,2,2,2010,12,,,2016,3,911,99,,5,1
10058,"25B/62 Great Eastern Highway, Rivervale",2,Apartment,290000,285000,,2,1,1,2015,11,2010,12,,,7989,,,4,1
1006,"8/129 Labouchere Road, Como",3,Townhouse,485000,,420,2,1,1,2010,9,,,2010,5,2205,82,,4,2
10061,"5 8-Feb Barry Street, Rivervale",0,,285000,,,,1,1,2010,12,,,,,,,,,
10062,"27/15 Tanunda Drive, Rivervale",2,Apartment,405000,,420,2,2,1,2010,11,,,2014,5,5906,109,,5,1
10065,"86/12 Tanunda Drive, Rivervale",2,Apartment,479000,,650,2,2,2,2010,10,,,2013,1,5305,77,,5,1
10066,"6/140-142 Fitzroy Road, Rivervale",2,House,565000,,,3,2,2,2010,11,,,,,201,,,5,1
10067,"103 Tibradden Circle, Ascot",0,House,470000,,370,3,2,1,2010,12,,,2009,3,318,,1995,8,2
10068,"80 Coolgardie Avenue, Ascot",0,House,525000,,,4,2,2,2010,9,,,,,460,170,2004,8,1
1007,"WG5 47/71 Canning Beach Road, Applecross",0,Apartment,1150000,,,3,2,2,2010,10,,,,,,,,,
10070,"38/68 Fisher Street, Belmont",2,House,470000,,,3,2,2,2010,10,,,,,172,130,,7,3
10074,"4/29 Kanowna Avenue, Ascot",0,Townhouse,432000,,,3,2,2,2010,12,,,,,2298,,,8,2
10075,"a/12 Drummond Street, Redcliffe",2,,355000,,,,,,2010,12,,,,,1016,,,8,2
10077,"202 152 Great Eastern Highway, Ascot",0,Apartment,300000,,,1,1,1,2010,12,,,,,8730,,,5,2
10078,"8 Morgan Road, Denmark",3,House,419000,275000,,2,1,1,2010,11,2009,7,,,1376,,,362,309
10079,"17 Gilbert Avenue, Denmark",3,House,315000,290000,,3,2,2,2014,1,2010,8,,,1212,152,,364,310
1008,"13/79 Macleod Road, Applecross",1,Townhouse,555000,,450,2,1,2,2010,8,,,2017,2,3952,,,7,2
10080,"16 Campbell Road, Denmark",3,House,220000,,280,2,1,1,2010,8,,,2017,4,1012,,,364,310
10081,"6 Parry Street, Denmark",3,House,280000,270000,,3,1,1,2012,3,2010,8,,,1012,120,,363,309
10082,"86 Central Avenue, Redcliffe",2,House,410000,,380,3,2,2,2010,11,,,2009,12,299,122,,8,2
10083,"78a Coolgardie Avenue, Ascot",0,House,572000,,,3,2,2,2010,12,,,,,442,185,2004,8,1
10084,"51 Durban Street, Belmont",2,House,365500,,340,3,1,1,2010,11,,,2016,9,637,92,,7,3
10085,"6 10 Kinghorn Place, Redcliffe",2,Townhouse,348000,,,3,1,2,2010,12,,,,,2502,,,7,3
10087,"39 Sedgeland Way, Ascot",0,House,835000,,,4,2,2,2010,12,,,,,245,195,2001,5,2
10088,"8 Terelinck Crescent, Redcliffe",2,House,460000,,,4,2,2,2010,9,,,,,402,155,,8,5
10089,"20 Tarquin Gardens, Belmont",2,House,790000,755777,,4,2,2,2015,12,2010,12,,,663,207,,6,3
1009,"7/880 Canning Highway, Applecross",1,Apartment,443000,,,1,1,1,2010,8,,,,,5214,,2010,6,1
10093,"6a Harrow Place, Kewdale",3,Townhouse,520000,,,4,2,2,2010,12,,,,,850,,,7,1
10094,"247 Armadale, Kewdale",3,House,460000,,,,,2,2011,1,,,,,506,,,6,2
10097,"425 Orrong Road, Kewdale",3,House,495000,,,3,2,2,2010,11,,,,,947,149,1955,7,1
10098,"67B Oats Street, Kewdale",3,Duplex,365000,,,2,1,3,2010,11,,,,,1076,,,7,2
10099,"188B Kew Street, Kewdale",3,House,347500,,,3,1,1,2010,12,,,,,437,82,1975,8,3
101,"3/1a Jersey, Daglish",0,Unit,379000,,,2,1,1,2010,11,,,,,815,61,,4,0.26
1010,"9 Gunbower Road, Mount Pleasant",0,House,1600000,,,5,3,2,2005,12,,,,,636,293,1993,8,1
10100,"74 Cohn Street, Kewdale",3,House,370000,,350,4,2,2,2010,12,,,2008,11,402,112,,7,1
10101,"16a Rowlands Street, Kewdale",3,Duplex,325000,,350,2,1,1,2010,12,,,2016,4,1012,,,7,1
10105,"90 Belmont Road, Kenwick",2,House,335000,,,3,1,2,2010,10,,,,,790,115,1986,14,1
10107,"8 35-37 Bickley Road, Cannington",2,Villa,332000,,,3,1,1,2010,12,,,,,2415,,,11,0.84
10109,"59 Manley Street, Cannington",2,House,317500,,,2,1,2,2010,12,,,,,95,,,9,0.79
10110,"9 Galaxy Street, Beckenham",1,House,362500,,,4,1,4,2010,12,,,,,667,120,1974,12,1
10113,"2/32 Cross Street, Queens Park",3,House,350000,,410,3,2,,2010,12,,,2016,7,974,,,9,0.94
10114,"64 Cross Street, Queens Park",3,House,510000,,,4,2,4,2010,9,,,,,823,,,10,1
10115,"2 Greenshank Close, East Cannington",1,House,550000,,250,4,2,2,2010,12,,,2004,6,612,218,1995,11,1
10117,"15 79 George Way, Cannington",2,Villa,367000,,,3,2,2,2010,12,,,,,4486,,,9,0.74
1012,"64 St Michael Terrace, Mount Pleasant",0,House,999000,845000,,3,1,3,2014,2,2010,10,,,567,146,,9,1
10120,"24/9 Mallard Way, Cannington",2,Townhouse,304000,,,2,1,3,2010,11,,,,,8631,95,,9,1
10122,"2/303 Wharf Street, Queens Park",3,Unit,320000,,,2,1,1,2010,11,,,,,71,,,10,1
10123,"4/9 Lansing Street, Queens Park",3,Villa,349000,,320,3,2,1,2010,9,,,2008,9,3067,94,,9,0.93
10124,"20A Bickley Road, Cannington",2,House,350000,325000,,2,1,1,2012,10,2010,11,,,1211,97,,11,1
10126,"4/337 SEVENOAKS STREET, Cannington",2,Villa,355000,,,3,2,1,2010,11,,,,,2649,,,11,0.65
10128,"6 2 Hogarth Street, Cannington",2,House,330000,,,3,2,2,2010,12,,,,,993,,,11,0.52
10130,"15/9 Mallard Way, Cannington",2,Villa,343000,,,3,1,3,2010,11,,,,,255,,,9,1
10131,"148 Hamilton Street, Queens Park",3,House,491500,465000,,4,2,2,2016,3,2010,11,,,458,145,2001,9,0.61
10133,"17 Sheffield Road, Wattle Grove",1,House,560000,495000,480,4,2,2,2014,2,2010,11,2011,1,560,160,,13,4
10136,"1 250 George Street, Queens Park",3,Townhouse,407000,,,4,2,2,2010,12,,,,,1530,,,10,1
10137,"217 George Street, Queens Park",3,House,409000,,,4,2,1,2010,11,,,,,772,,1987,9,1
1014,"4 Bateman Road, Mount Pleasant",0,House,2800000,,,5,5,2,2010,10,,,,,169,404,2009,8,1
10140,"1A Dryandra Way, Thornlie",3,House,425500,,,3,2,2,2010,12,,,,,1110,120,,15,2
10143,"6/11 Exmouth Place, Thornlie",3,Townhouse,330000,76900,380,3,2,2,2010,12,2003,10,2017,5,272,119,2005,15,2
10146,"18 67 Lester Drive, Thornlie",3,Apartment,206000,,,2,1,,2010,12,,,,,59,,,13,0.41
10148,"8/2 Dalziell, Maddington",3,Unit,206000,,,2,1,1,2010,11,,,,,2510,56,,16,0.60
1015,"113 Reynolds Road, Mount Pleasant",0,House,1090000,,,5,3,2,2010,9,,,,,570,,1995,8,1
10150,"Unit,20 8 Heron Place, Maddington",3,Villa,325000,,,3,1,1,2010,12,,,,,6144,,,15,0.89
10155,"36 Friday Hill Drive, Southern River",2,House,960000,,,4,3,2,2010,12,,,,,790,,,19,6
10159,"7 Milleara Road, Martin",1,House,420000,,,3,2,1,2010,12,,,,,2084,,1967,21,1
10160,"96 Terence Street, Gosnells",3,House,265000,,,2,1,2,2010,12,,,,,652,,1950,19,0.46
10163,"28 Watson Street, Mount Magnet",0,House,272250,54000,,2,1,1,2010,11,2006,8,,,1012,140,1945,473,461
10164,"7/17 Bert Street, Gosnells",3,Townhouse,303000,,300,3,2,2,2010,11,,,2008,8,2630,110,,19,0.41
10169,"11 Greendale Place, Kelmscott",3,House,392000,,,2,1,1,2010,11,,,,,1093,,1975,24,1
1017,"1/8 Forbes Road, Applecross",1,House,800000,,580,3,2,4,2015,2,,,2016,4,1012,135,,6,0.93
10171,"28/12 Davis Street, Kelmscott",3,Unit,288000,,,3,2,2,2011,1,,,,,195,,,23,0.46
10172,"2 57 Third Avenue, Kelmscott",3,Apartment,270000,,,3,1,2,2010,12,,,,,273,,,23,0.79
10175,"2/6 Turner Place, Kelmscott",3,Villa,149000,,320,3,2,2,2010,11,,,2016,2,204,89,2010,22,0.62
10176,"5 Asplin Loop, Kelmscott",3,House,425000,,350,3,2,2,2011,7,,,2015,7,306,,,22,0.70
10177,"2 Asplin Loop, Kelmscott",3,,386000,178000,320,3,2,2,2010,12,2009,12,2015,11,300,123,,22,0.70
10178,"56 Mackie Road, Roleystone",1,House,587000,,,3,2,3,2010,10,,,,,4201,197,,27,5
10179,"3 Pindari Court, Kelmscott",3,House,285000,,330,3,1,2,2008,6,,,2008,10,762,171,1976,24,0.29
1018,"13 Moreau Mews, Applecross",1,House,940000,,600,3,2,2,2010,9,,,2006,11,308,162,1990,6,0.75
10185,"4b Bilkurra Way, Mount Nasura",0,House,410000,,,3,2,2,2010,12,,,,,420,,,26,1
10186,"6 Offord, Armadale",3,House,252000,,,3,1,2,2010,12,,,,,708,,,26,1
10187,"62 Williams Road, Armadale",3,House,286000,220500,210,4,1,4,2010,10,2005,11,2006,11,689,,,24,0.72
10190,"10B LOCKSLEY AVENUE, Armadale",3,House,255000,,,3,1,1,2010,12,,,,,1118,97,1994,26,0.71
10191,"6 Sepal Close, Seville Grove",0,House,297000,275000,305,3,1,1,2016,1,2010,12,2010,5,537,105,1994,23,2
10192,"15 Ballak Place, Oakford",0,House,822000,,590,4,2,2,2010,11,,,2010,12,20588,303,2003,29,7
10193,"850 Rowley Road, Oakford",0,,760000,,,4,2,1,2016,5,,,,,20236,131,1980,26,7
10195,"52 Plaistowe Boulevard, Byford",2,House,495000,405000,,4,2,2,2014,6,2010,10,,,510,212,,31,6
10198,"11 Bevis Court, Byford",2,House,448000,,450,3,2,1,2010,9,,,2015,3,2436,142,,32,6
10199,"41 Mead Street, Byford",2,House,400000,390000,405,3,2,2,2015,5,2010,12,2015,4,377,201,,33,8
102,"4/218 York Street, Subiaco",2,Townhouse,526000,,,2,1,1,2010,10,,,,,72,72,,3,0.37
10203,"15 Rigoll Court, Mundijong",1,House,456500,,,4,2,3,2010,12,,,,,1238,166,1987,39,15
10205,"24 Darwinia Court, Jarrahdale",1,House,564000,,,3,2,2,2010,10,,,,,4007,205,,46,21
10206,"62 Lingdon Lane, Serpentine",1,,1250000,,500,4,2,,2010,12,,,2010,8,300211,230,,45,16
10207,"4 Bilya Avenue, Mardella",0,House,535000,,,3,2,2,2010,11,,,,,2502,165,2002,41,17
10208,"122 River Road, Hopeland",0,,1500000,,,4,1,3,2010,12,,,,,250019,45,,47,9
10209,"20 Allum Way, Serpentine",1,House,750000,,,4,2,2,2010,12,,,,,15855,215,,47,22
10210,"11B Anteo Court, Parkwood",2,Duplex,365000,,380,3,1,1,2010,12,,,2017,2,417,103,,11,3
10211,"7 Boliver Place, Langford",3,House,490000,,,6,3,1,2010,12,,,,,843,189,1970,12,1
10212,"72 Ravenslea Drive, Parkwood",2,House,561000,315000,,4,2,2,2010,12,2005,5,,,662,194,1985,12,3
10214,"4 Clovelly Crescent, Lynwood",1,House,421000,,415,4,2,1,2010,12,,,2016,12,833,,1965,11,2
10219,"23 Hester Street, Langford",3,House,755000,,,4,2,2,2010,10,,,,,7512,322,1971,13,0.92
10222,"12 Devon Way, Lynwood",1,House,465000,,,4,2,3,2011,10,,,,,633,,1967,11,2
10224,"2 Heron Place, Parkwood",2,House,480000,,390,3,1,1,2010,12,,,2016,2,750,127,,11,4
10228,"1/55 Riley Road, Riverton",2,House,537300,465000,465,3,2,2,2015,11,2010,12,2013,8,1002,,2002,10,4
1023,"7/63 Reynolds Road, Mount Pleasant",0,Villa,462500,420000,430,2,1,2,2015,8,2010,9,2013,9,74,74,1982,7,1
10234,"145A RIVERTON DRIVE WEST, Rossmoyne",2,House,1800000,,,3,2,3,2010,12,,,,,933,261,1976,9,2
10236,"84 Fifth Avenue, Rossmoyne",2,House,638000,,400,4,2,1,2010,12,,,2009,1,726,,,10,1
10237,"27b Second Avenue, Rossmoyne",2,Duplex,685000,,440,3,1,2,2010,12,,,2010,12,565,113,,9,2
10239,"196 Ferndale Crescent, Ferndale",1,House,490000,,,3,1,2,2010,11,,,,,1161,136,1955,10,3
1024,"52 Searle Road, Ardross",3,House,1695000,,,4,2,2,2010,8,,,,,461,266,2007,8,3
10248,"1 Hewison Street, Leeming",3,House,560000,,,4,2,3,2010,12,,,,,845,,1978,12,1
10249,"13 Wethered Street, Leeming",3,House,550000,,450,4,2,2,2010,12,,,2016,9,799,188,1983,13,1
1025,"34 Canning Avenue, Mount Pleasant",0,House,962500,,450,4,2,2,2010,8,,,2011,11,790,,1962,9,1
10250,"3 Leonard Place, Bull Creek",3,House,803000,,,5,2,,2010,12,,,,,684,202,1982,11,0.96
10252,"4 Clemros, Leeming",3,House,700000,,,4,2,2,2010,11,,,,,741,,,13,1
10255,"20A Twin Branch Rise, Leeming",3,Duplex,615000,545000,,3,2,2,2012,5,2010,12,,,1032,166,1994,14,2
10256,"13 Amphion Court, Leeming",3,House,480000,,,3,1,2,2010,12,,,,,690,,,12,1
10258,"21 Collett Way, Leeming",3,House,468000,249000,380,3,1,2,2010,12,2004,5,2010,11,478,142,1992,12,0.82
1026,"1 Carroll Street, Ardross",3,House,1335000,,,4,3,2,2010,8,,,,,590,261,2005,8,3
10260,"1 Wilding Place, Bull Creek",3,House,1140000,,,5,4,2,2010,11,,,,,802,329,,10,1
10262,"36e Arcadia Crescent, Bateman",3,Townhouse,620000,,506,3,2,2,2010,12,,,2017,2,188,155,,10,0.33
10263,"7A Chamberlain Circle, Bateman",3,House,515000,,,4,2,1,2010,12,,,,,958,115,1989,11,0.77
10265,"7 Blakey Rise, Winthrop",1,House,850000,,,4,2,2,2010,12,,,,,796,796,,11,3
10267,"11/21 Angelo Street, South Perth",3,Townhouse,615000,,550,3,1,2,2010,12,,,2012,1,4284,114,1977,3,2
10269,"1 17 King Edward Street, South Perth",3,Townhouse,770000,,,3,1,2,2010,12,,,,,1277,,,2,2
10270,"2/128 Hensman Street, South Perth",3,Unit,470000,,,2,1,1,2010,11,,,,,910,64,1963,3,4
10274,"12 Jarman Avenue, Manning",3,House,940000,,,4,2,2,2010,10,,,,,843,207,1997,7,1
10275,"2/43 Mary Street, Como",3,Villa,555000,,495,3,1,2,2010,12,,,2015,9,1214,101,1985,4,1
10276,"30A Downey Drive, Manning",3,House,1095000,,,3,2,2,2010,11,,,,,546,251,2007,6,1
10277,"4/5 Eleanor Street, Como",3,Villa,460000,,,2,1,1,2010,11,,,,,78,75,1980,5,1
10278,"1 45 Park Street, Como",3,Villa,532500,,,3,1,2,2010,12,,,,,2179,,,5,1
10279,"4/148 Melville Parade, Como",3,Townhouse,745000,,,3,2,2,2010,12,,,,,1113,191,,5,1
1028,"9/60 Cranford Avenue, Mount Pleasant",0,House,425000,,310,2,1,2,2010,8,,,2010,6,3037,67,1979,9,0.78
10280,"43 Challenger Avenue, Manning",3,Villa,437000,,,3,1,2,2010,11,,,,,240,88,1995,7,1
10281,"2 36 Comer Street, Como",3,Villa,540000,,,3,2,1,2010,12,,,,,1010,,,4,2
10282,"3 Monash Avenue, Como",3,,650000,,400,,,,2013,10,,,2009,1,675,,,4,2
10283,"23 4 Comer Street, Como",3,House,291000,,,1,1,1,2010,12,,,,,5577,,,4,2
10284,"4/30 Axford Street, Como",3,Villa,476000,,,2,1,2,2014,9,,,,,994,83,1974,5,1
10285,"12/150 Coode Street, Como",3,Unit,395000,,400,2,1,1,2010,11,,,2012,8,2691,64,1981,4,2
10286,"6/27 Talbot Avenue, Como",3,Townhouse,385000,,325,2,1,2,2010,11,,,2009,9,74,,,5,1
10287,"3 80 Clydesdale Road, Como",3,Unit,321000,,,2,1,1,2010,12,,,,,4860,,,7,0.81
10288,"2/68 Mary Street, Como",3,Villa,485000,,400,2,1,1,2010,11,,,2017,4,1084,79,,5,1
10289,"3/144 Melville Parade, Como",3,Unit,415000,,380,2,1,1,2010,11,,,2016,6,1114,,,4,1
10290,"1 74 Clydesdale Street, Como",3,Villa,395000,,,2,1,2,2010,12,,,,,2430,,,6,0.75
10291,"33A Henning Crescent, Manning",3,House,680000,525000,,2,1,1,2014,9,2010,11,,,368,127,,6,1
10292,"8 33 South Terrace, Como",3,Townhouse,640000,,,3,2,2,2010,12,,,,,3030,,,4,2
10293,"1 57 Eric Street, Como",3,Townhouse,590000,,,3,2,1,2010,12,,,,,1010,,,4,1
10295,"2 208 Coode Street, Como",3,Townhouse,535000,,,3,2,1,2010,12,,,,,888,,,4,1
10297,"19 Unwin Crescent, Salter Point",0,House,816000,,550,4,2,2,2010,11,,,2016,12,987,,,8,2
10298,"41B Canavan Crescent, Manning",3,House,705000,,,4,2,2,2010,12,,,,,421,,,6,1
10299,"54A Hobbs Avenue, Como",3,House,720000,,,4,1,2,2010,12,,,,,1012,129,,4,2
103,"3/99 roberts road, Subiaco",2,Villa,565000,,500,2,1,2,2010,10,,,2010,1,804,70,,2,0.42
10306,"32 Bland Street, Como",3,House,862000,,,5,3,2,2010,12,,,,,479,230,1996,4,2
10308,"6 Downey Drive, Manning",3,House,932000,848000,,5,3,2,2010,12,2007,11,,,396,296,2005,6,0.88
10310,"62A Leonora Street, Como",3,House,1200000,,,5,3,2,2010,4,,,,,506,359,,6,0.29
10314,"70A Griffin Crescent, Manning",3,House,1138888,,,5,3,2,2010,12,,,,,460,381,2009,7,2
10315,"10 6 GRASMERE Court, Brentwood",1,Villa,510000,,,3,1,2,2010,12,,,,,4925,,,10,0.36
10316,"14A Dee Road, Applecross",1,House,1282500,1200000,880,3,2,2,2014,5,2010,12,2015,2,200,187,,7,2
10318,"15A Portree Way, Ardross",3,House,1175000,,1200,4,3,2,2010,11,,,2013,9,404,254,,8,2
10319,"122 Ardross Street, Mount Pleasant",0,House,975000,,,3,2,2,2010,11,,,,,334,180,1995,7,1
1032,"73 Holman Street, Alfred Cove",0,House,630000,,,3,1,2,2010,9,,,,,410,115,,9,4
10320,"25B Dunkley Avenue, Applecross",1,House,2600000,,1200,4,2,2,2010,11,,,2015,8,531,278,,8,3
10321,"3B Ventnor Avenue, Mount Pleasant",0,House,1700000,1650000,,5,3,2,2015,11,2010,12,,,509,385,2008,8,2
10322,"7B Klem Road, Ardross",3,Duplex,580000,,450,2,1,1,2010,11,,,2015,1,445,80,,8,1
10324,"4 Verco Court, Booragoon",1,House,755000,,,3,2,2,2010,12,,,,,514,160,1987,9,2
10333,"8/23 Allerton Way, Booragoon",1,Villa,379000,,,2,1,1,2010,11,,,,,2392,62,,10,1
10341,"5b Werribee Crescent, Willetton",3,Duplex,422000,,,3,1,1,2010,12,,,,,1009,94,,10,3
10346,"1/82 A Acanthus Road, Willetton",3,Unit,355000,,,2,1,,2010,12,,,,,1012,506,,10,2
10347,"6/8 Falcon Court, Willetton",3,Apartment,360000,,330,2,1,2,2010,11,,,2011,1,2236,82,,10,2
10348,"13/14 Poplar Street, Willetton",3,Apartment,280000,,,2,1,1,2010,11,,,,,3034,,,10,2
10351,"Lot 15 Carnation Street, Canning Vale",3,House,380000,,,3,2,2,2010,11,,,,,228,158,,15,4
10357,"7 Keilman Road, Willetton",3,House,750000,,,4,2,2,2010,12,,,,,600,,,10,3
10360,"155 Southacre Drive, Canning Vale",3,House,640000,,,5,2,2,2010,11,,,,,608,228,,16,6
10361,"47 Rostrata Avenue, Willetton",3,House,550000,,430,5,2,2,2010,11,,,2008,8,680,178,,11,4
10362,"4 Howarth Street, Melville",2,Duplex,577500,475000,320,2,1,1,2016,3,2010,12,2010,8,415,106,1969,11,4
10364,"52 Potts Street, Melville",2,House,650000,,,3,1,3,2010,12,,,,,785,180,1966,11,4
10367,"3 9 Point Walter Road, Bicton",1,Villa,645000,,,3,2,2,2007,9,,,,,221,,,11,3
10369,"3 15-17 Point Walter Road, Bicton",1,Apartment,500000,,,2,1,1,2010,12,,,,,3933,,,11,3
1037,"195B Riseley Street, Booragoon",1,House,1020000,,,3,2,2,2010,8,,,,,350,223,,10,1
10370,"16A Birdwood Circus, Bicton",1,House,1525000,,1000,4,2,2,2010,12,,,2010,11,633,302,2010,11,2
10371,"187A Stock Road, Palmyra",2,Duplex,758000,,,4,2,2,2010,12,,,,,1050,175,1997,11,4
10372,"51 Richmond Circus, East Fremantle",1,,660000,,500,3,2,2,2010,11,,,2009,9,5819,,,13,2
10373,"31a Irwin Street, East Fremantle",1,House,860000,,800,3,2,2,2010,12,,,2016,1,547,164,2002,12,2
10375,"10 10 KWONG ALLEY, North Fremantle",1,Unit,525000,,,2,2,2,2010,12,,,,,204,,,13,1
10376,"8 10 KWONG ALLEY, North Fremantle",1,House,810000,,,3,3,,2010,12,,,,,204,,,13,1
10377,"5 5-Mar Harvest Road, North Fremantle",0,,550000,,,2,1,1,2010,12,,,,,2141,,,,
10378,"14/52 Samson, White Gum Valley",1,,375000,,,2,1,1,2010,12,,,,,3038,61,,15,2
1038,"9/29 Chetwynd Way, Booragoon",1,House,445000,,330,3,1,1,2010,9,,,2010,8,2729,88,1980,10,1
10385,"8/52 Rollinson Road, North Coogee",0,Apartment,849000,,750,3,2,2,2010,12,,,2010,12,3182,,2005,17,3
10387,"52 March Street, Spearwood",3,House,531500,,340,4,1,1,2010,12,,,2016,12,759,100,,17,6
1039,"34A Mullings Way, Myaree",0,House,625000,,,4,2,2,2014,1,,,,,440,177,2010,10,3
10392,"10 Hyam Street, Hamilton Hill",3,House,485000,,,3,1,2,2010,11,,,,,682,154,1973,16,5
10393,"10/2 Pinewood Avenue, Kardinya",2,Apartment,321000,,360,2,1,1,2010,11,,,2017,1,5647,,,13,2
